2015-08-12 19:45:55 [INFO] [Multiverse-Portals]  1 - Portals(s) loaded
2015-08-12 20:02:14 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-08-12 20:34:24 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-08-12 21:48:00 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-08-13 01:54:58 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-08-13 02:20:12 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-08-13 02:20:52 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-08-13 13:00:40 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2015-08-13 22:42:12 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2016-05-02 22:45:23 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2016-05-05 01:57:31 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
2016-05-05 01:59:00 [INFO] [Multiverse-Portals]  5 - Portals(s) loaded
